experience,salary 
5-8,15-25
5-10,6-10
6-8,15-25
7-12,10-15
1-3,0-3
4-9,10-15
10-12,15-25
9-14,15-25
12-18,25-50
9-12,10-15
4-6,10-15
10-14,10-15
1-6,0-3
0-3 ,0-3
5-10,15-25
8-13,10-15
6-8,10-15
4-8,15-25
5-8,10-15
7-11,10-15
8-10,10-15
10-13,10-15
6-9,6-10
7-12,10-15
7-12,10-15
2-5,3-6
4-8,3-6
10-15,15-25
3-5,0-3
10-15,10-15
8-10,10-15
4-9,10-15
5-8,10-15
6-10,3-6
5-10,15-25
2-7,0-3
4-9,10-15
10-10,10-15
2-3,3-6
2-7,6-10
8-10,10-15
5-8,6-10
2-5,10-15
8-12,15-25
6-11,10-15
0-5 ,0-3
14-22 ,15-25
0-5 ,3-6
5-8,15-25
2-7,6-10
3-5,6-10
4-8,0-3
4-9,10-15
1-4,0-3
7-12,15-25
0-1 ,0-3
3-7,6-10
3-7,15-25
8-12,10-15
8-13,15-25
4-9,15-25
5-10,15-25
3-8,0-3
2-4,15-25
6-10,15-25
0-3 ,0-3
5-9,6-10
5-8,6-10
1-3,3-6
5-10,15-25
10-15,15-25
2-7,15-25
2-7,0-3
4-7,3-6
2-4,6-10
2-5,10-15
2-5,6-10
8-10,10-15
0-0 ,3-6
12-15,25-50
0-1 ,0-3
3-6,15-25
2-7,10-15
3-4,0-3
3-7,10-15
4-8,15-25
2-6,3-6
3-5,3-6
1-4,0-3
6-8,3-6
4-9,15-25
9-14,25-50
1-3,15-25
2-4,3-6
1-2,0-3
10-18,25-50
10-12,10-15
10-14,15-25
8-12,10-15
8-13,15-25
6-11,15-25
2-4,6-10
4-9,10-15
8-13,15-25
4-6,6-10
0-2 ,0-3
5-10,15-25
7-12,15-25
2-4,0-3
5-9,6-10
2-4,15-25
9-14,25-50
7-12,10-15
1-3,10-15
2-5,6-10
2-7,10-15
4-6,10-15
4-9,15-25
4-9,15-25
3-5,3-6
2-7,3-6
1-5,0-3
4-8,15-25
0-3 ,0-3
0-0 ,3-6
7-11,25-50
4-7,10-15
9-13,25-50
2-4,15-25
11-14,10-15
0-2 ,0-3
0-0 ,0-3
7-12,3-6
1-6,0-3
3-5,3-6
5-7,3-6
0-2 ,0-3
15-25 ,25-50
14-21 ,25-50
4-8,10-15
9-14,15-25
5-10,15-25
4-9,15-25
4-9,15-25
10-15,25-50
5-7,6-10
2-5,0-3
15-22 ,25-50
8-10,15-25
15-18 ,25-50
5-10,15-25
5-10,10-15
8-13,25-50
3-5,10-15
5-10,10-15
2-5,0-3
3-5,15-25
0-3 ,0-3
3-8,3-6
4-9,15-25
0-1 ,0-3
2-5,0-3
12-18,25-50
0-5 ,0-3
3-8,15-25
0-0 ,0-3
2-7,10-15
2-5,6-10
4-9,3-6
2-7,10-15
12-14,15-25
3-8,3-6
8-11,6-10
4-8,6-10
1-3,3-6
4-9,15-25
10-15,10-15
1-3,6-10
0-2 ,0-3
10-20,25-50
4-7,10-15
7-12,15-25
5-8,0-3
2-5,0-3
3-8,10-15
1-3,3-6
5-8,10-15
2-5,6-10
5-8,6-10
5-9,10-15
0-1 ,0-3
2-7,6-10
1-6,0-3
2-3,3-6
3-8,10-15
8-12,25-50
7-10,10-15
5-9,6-10
3-6,3-6
0-5 ,3-6
0-1 ,0-3
2-5,3-6
8-10,10-15
8-12,15-25
7-12,15-25
2-5,0-3
4-8,15-25
3-4,10-15
12-15,25-50
1-3,3-6
0-1 ,3-6
4-6,10-15
6-8,6-10
8-12,15-25
10-15,15-25
5-7,6-10
10-12,15-25
2-5,6-10
5-10,15-25
1-4,0-3
5-7,0-3
7-8,10-15
3-7,15-25
0-5 ,3-6
0-1 ,0-3
0-5 ,0-3
1-4,6-10
6-11,15-25
3-5,6-10
4-8,15-25
1-3,0-3
4-6,6-10
7-12,15-25
3-7,10-15
15-22 ,10-15
2-5,6-10
3-8,10-15
1-5,0-3
7-12,25-50
2-4,6-10
4-7,0-3
10-20,15-25
10-12,10-15
8-12,10-15
8-11,15-25
0-1 ,0-3
8-13,25-50
1-3,3-6
2-7,6-10
6-9,10-15
3-5,6-10
6-10,15-25
4-9,6-10
0-0 ,0-3
5-10,6-10
4-8,10-15
8-13,15-25
10-20,25-50
3-5,10-15
5-10,10-15
5-8,15-25
3-6,3-6
5-10,15-25
4-5,6-10
5-10,15-25
2-4,6-10
3-5,3-6
5-8,10-15
6-10,15-25
4-8,6-10
4-7,3-6
0-2 ,3-6
3-8,15-25
6-11,15-25
8-13,15-25
7-11,15-25
10-20,25-50
5-8,15-25
4-9,0-3
2-7,0-3
5-7,15-25
2-5,6-10
5-10,10-15
3-8,10-15
2-3,3-6
1-2,3-6
5-9,6-10
3-6,3-6
3-8,3-6
7-12,15-25
3-6,15-25
5-10,15-25
1-6,0-3
6-11,6-10
1-3,6-10
4-9,10-15
3-8,3-6
2-4,25-50
4-9,15-25
9-11,10-15
3-6,10-15
5-6,15-25
6-11,10-15
2-7,0-3
1-3,10-15
0-1 ,0-3
8-13,15-25
2-5,6-10
7-12,15-25
1-3,0-3
10-16,25-50
1-3,3-6
2-5,3-6
2-6,0-3
2-4,10-15
5-9,0-3
1-5,6-10
5-8,15-25
7-11,15-25
12-16,6-10
5-8,10-15
4-9,10-15
8-13,10-15
8-11,15-25
2-4,0-3
3-5,6-10
1-4,0-3
1-6,0-3
6-10,15-25
1-2,0-3
5-10,15-25
4-7,15-25
3-5,10-15
12-18,25-50
4-9,3-6
1-5,15-25
0-2 ,0-3
18-22 ,10-15
7-12,10-15
1-5,10-15
12-18,15-25
1-4,6-10
1-3,3-6
3-7,10-15
3-7,6-10
10-16,15-25
4-9,10-15
3-7,3-6
2-5,10-15
4-6,6-10
1-3,15-25
0-2 ,0-3
2-4,0-3
1-6,10-15
7-10,15-25
8-12,15-25
5-10,10-15
4-8,25-50
1-4,3-6
3-5,10-15
2-7,10-15
15-18 ,15-25
5-10,15-25
11-16,25-50
9-14,15-25
2-5,0-3
2-5,3-6
4-9,25-50
1-4,0-3
10-15,25-50
2-7,6-10
1-3,3-6
6-11,15-25
1-6,15-25
3-8,0-3
3-8,0-3
3-7,0-3
0-3 ,0-3
0-3 ,6-10
1-3,10-15
0-5 ,3-6
2-3,10-15
6-10,15-25
4-8,10-15
2-5,6-10
2-5,0-3
3-8,6-10
3-6,3-6
4-8,6-10
5-10,6-10
3-6,0-3
4-8,6-10
4-8,10-15
3-5,3-6
5-10,10-15
6-10,10-15
5-8,6-10
10-12,10-15
10-15,15-25
7-12,15-25
2-4,10-15
10-15,15-25
10-12,15-25
7-10,15-25
2-7,6-10
3-6,0-3
0-2 ,0-3
0-5 ,3-6
1-3,0-3
3-7,15-25
5-8,10-15
1-3,3-6
1-5,0-3
3-5,6-10
1-4,0-3
3-6,10-15
5-8,15-25
3-8,15-25
6-8,6-10
2-6,10-15
15-22 ,15-25
3-8,15-25
0-4 ,0-3
5-7,10-15
3-7,10-15
11-20,15-25
6-10,15-25
0-3 ,3-6
5-7,6-10
4-5,3-6
18-20 ,15-25
11-14,15-25
3-5,10-15
2-4,3-6
5-7,6-10
4-7,10-15
2-5,6-10
4-8,15-25
1-3,10-15
10-14,10-15
2-7,6-10
1-5,0-3
10-15,15-25
3-7,10-15
6-10,15-25
1-3,6-10
6-10,10-15
5-10,10-15
3-6,0-3
2-4,0-3
7-12,25-50
4-9,10-15
2-7,0-3
11-12,15-25
10-15,25-50
1-6,6-10
5-8,10-15
4-9,10-15
2-4,3-6
2-4,3-6
3-5,6-10
6-9,10-15
6-8,6-10
1-6,0-3
4-7,3-6
0-5 ,0-3
6-11,10-15
15-20 ,3-6
12-14,10-15
2-6,6-10
4-8,10-15
10-13,15-25
7-10,25-50
2-5,6-10
5-8,15-25
12-18,15-25
5-10,25-50
6-10,10-15
5-10,3-6
1-3,0-3
0-1 ,3-6
10-12,15-25
2-7,0-3
9-10,10-15
2-5,3-6
2-5,6-10
5-10,10-15
8-12,15-25
2-5,10-15
2-6,3-6
1-3,3-6
0-5 ,6-10
8-12,10-15
5-10,6-10
1-3,3-6
5-10,3-6
4-9,25-50
2-4,6-10
4-6,15-25
3-6,3-6
2-7,6-10
3-7,15-25
10-18,6-10
6-10,10-15
6-11,6-10
15-20 ,15-25
1-5,0-3
4-6,0-3
2-7,0-3
7-12,15-25
5-10,10-15
4-8,15-25
3-8,10-15
3-6,6-10
5-6,6-10
7-12,10-15
10-15,25-50
8-12,15-25
7-10,10-15
4-6,6-10
1-6,6-10
0-4 ,0-3
7-10,15-25
4-7,0-3
3-5,6-10
2-6,3-6
8-10,10-15
13-15 ,25-50
3-5,3-6
3-8,3-6
5-10,15-25
0-2 ,0-3
5-9,15-25
2-4,10-15
3-6,6-10
4-7,3-6
1-6,0-3
2-4,3-6
8-13,10-15
3-6,0-3
6-10,25-50
10-15,10-15
3-5,6-10
8-10,10-15
11-15,15-25
0-4 ,10-15
20-22 ,15-25
0-1 ,0-3
3-8,15-25
7-12,10-15
2-5,10-15
3-5,15-25
8-13,6-10
3-8,6-10
0-3 ,0-3
12-18,15-25
7-12,6-10
3-7,6-10
5-10,10-15
3-5,6-10
4-8,15-25
2-4,3-6
5-7,6-10
0-4 ,0-3
2-5,3-6
3-6,3-6
3-6,3-6
5-7,6-10
2-5,6-10
13-18 ,25-50
0-1 ,0-3
13-15 ,25-50
12-16,25-50
8-12,15-25
6-10,10-15
0-3 ,0-3
10-18,25-50
3-8,0-3
5-10,10-15
4-9,10-15
3-8,6-10
0-5 ,3-6
1-4,15-25
4-7,10-15
4-8,6-10
4-6,10-15
2-3,3-6
20-30 ,3-6
15-20 ,25-50
8-10,15-25
5-8,10-15
4-8,6-10
3-7,10-15
2-6,15-25
5-10,15-25
5-8,6-10
3-8,0-3
4-8,15-25
10-12,15-25
8-12,15-25
4-7,10-15
3-8,6-10
1-4,0-3
8-10,15-25
5-9,10-15
4-9,15-25
5-10,0-3
8-13,10-15
1-4,0-3
0-1 ,0-3
11-15,15-25
7-12,6-10
6-10,15-25
1-3,6-10
3-5,25-50
0-1 ,3-6
5-10,10-15
4-8,10-15
0-2 ,0-3
1-3,3-6
2-4,6-10
0-4 ,0-3
10-15,10-15
2-6,25-50
0-1 ,3-6
0-4 ,0-3
1-6,10-15
4-9,15-25
5-9,15-25
2-7,15-25
4-9,6-10
8-12,15-25
3-5,0-3
15-18 ,15-25
1-4,6-10
2-3,6-10
8-10,15-25
2-5,3-6
2-5,0-3
0-1 ,3-6
3-5,3-6
2-7,0-3
3-6,3-6
2-5,10-15
6-9,15-25
10-15,25-50
5-7,6-10
1-4,3-6
3-8,15-25
2-5,10-15
4-9,10-15
3-5,6-10
4-9,10-15
13-17 ,15-25
0-0 ,0-3
2-4,10-15
6-8,3-6
1-5,6-10
8-13,6-10
7-10,25-50
6-11,15-25
0-5 ,0-3
5-9,15-25
1-3,3-6
3-8,3-6
2-4,3-6
4-5,6-10
5-8,6-10
5-10,10-15
3-8,3-6
3-8,10-15
7-12,25-50
4-5,6-10
7-10,10-15
3-8,10-15
4-8,6-10
6-10,6-10
4-5,3-6
6-9,15-25
10-15,25-50
3-6,10-15
3-5,10-15
3-7,6-10
1-5,6-10
3-5,6-10
6-10,15-25
0-0 ,3-6
0-0 ,0-3
1-5,0-3
7-12,10-15
10-15,25-50
2-5,10-15
1-3,0-3
6-10,6-10
3-7,10-15
6-10,10-15
2-6,15-25
6-11,15-25
7-12,6-10
6-11,15-25
8-12,25-50
5-8,10-15
5-9,3-6
3-6,10-15
4-6,6-10
2-7,6-10
8-10,10-15
0-1 ,0-3
8-11,15-25
3-6,10-15
3-5,10-15
2-7,3-6
5-10,10-15
1-3,0-3
1-5,6-10
4-8,6-10
4-7,10-15
8-12,15-25
2-6,10-15
5-10,3-6
1-3,0-3
4-9,10-15
1-3,3-6
8-12,10-15
1-5,6-10
2-7,3-6
1-2,3-6
1-6,0-3
4-8,15-25
10-20,10-15
7-12,25-50
3-8,0-3
2-5,0-3
4-5,3-6
5-10,15-25
10-20,25-50
8-13,25-50
1-5,3-6
6-11,15-25
7-10,15-25
6-11,25-50
2-7,3-6
1-4,3-6
3-7,3-6
6-10,6-10
2-5,6-10
5-10,25-50
8-13,6-10
3-7,6-10
1-5,0-3
5-8,6-10
10-15,15-25
2-4,3-6
0-2 ,0-3
13-18 ,15-25
5-10,10-15
2-4,3-6
5-10,15-25
4-9,10-15
8-12,15-25
2-7,6-10
10-15,15-25
4-9,15-25
1-5,25-50
10-15,25-50
3-6,10-15
4-9,10-15
1-3,0-3
5-10,25-50
4-6,3-6
2-6,6-10
0-2 ,0-3
14-18 ,15-25
1-4,0-3
5-10,10-15
6-11,10-15
2-5,0-3
0-3 ,0-3
5-10,10-15
0-5 ,3-6
13-16 ,6-10
6-11,15-25
8-13,25-50
3-8,6-10
5-10,10-15
5-8,10-15
4-9,10-15
10-14,15-25
1-3,6-10
12-18,15-25
10-15,15-25
2-7,3-6
1-5,0-3
1-5,6-10
2-3,3-6
5-10,15-25
2-5,3-6
8-11,15-25
1-3,0-3
8-11,6-10
0-5 ,3-6
2-7,0-3
1-2,0-3
8-10,6-10
5-10,6-10
4-8,10-15
8-12,15-25
2-3,10-15
8-12,10-15
5-10,6-10
3-8,15-25
2-5,10-15
2-6,6-10
3-7,15-25
3-5,10-15
5-10,6-10
1-5,0-3
2-5,15-25
2-5,6-10
12-22,15-25
2-3,10-15
8-13,6-10
2-7,3-6
0-1 ,0-3
2-7,0-3
2-5,6-10
0-2 ,3-6
8-12,10-15
3-5,10-15
12-17,15-25
5-7,15-25
0-2 ,0-3
0-4 ,3-6
0-5 ,0-3
1-2,0-3
5-7,10-15
0-5 ,0-3
8-12,15-25
10-20,10-15
10-15,10-15
0-5 ,0-3
2-4,10-15
1-5,0-3
0-3 ,0-3
12-18,15-25
4-6,10-15
4-6,10-15
8-13,6-10
2-7,3-6
8-13,15-25
1-2,6-10
5-7,15-25
8-13,25-50
5-10,15-25
8-13,15-25
10-18,15-25
0-1 ,0-3
3-5,10-15
4-8,10-15
3-4,3-6
3-7,15-25
8-13,10-15
15-25 ,25-50
2-5,3-6
6-10,25-50
4-9,15-25
3-6,3-6
2-5,3-6
2-7,6-10
10-12,25-50
10-16,10-15
8-13,15-25
4-9,15-25
3-4,10-15
4-8,6-10
3-5,6-10
4-9,25-50
2-7,15-25
1-3,0-3
1-3,0-3
5-8,15-25
0-5 ,0-3
4-7,3-6
2-6,3-6
3-8,10-15
2-4,0-3
0-5 ,0-3
8-13,10-15
1-5,0-3
2-3,3-6
1-3,3-6
2-4,6-10
1-3,6-10
1-3,0-3
10-15,15-25
9-14,10-15
7-12,15-25
10-15,15-25
4-6,3-6
1-4,6-10
2-6,10-15
0-3 ,0-3
1-5,0-3
1-6,3-6
5-10,15-25
3-8,0-3
8-10,15-25
3-6,15-25
2-7,0-3
8-13,15-25
1-5,0-3
2-7,10-15
1-3,6-10
10-13,15-25
10-15,15-25
3-5,10-15
8-13,6-10
1-5,0-3
10-18,25-50
5-7,0-3
6-11,15-25
8-12,25-50
4-6,3-6
4-9,6-10
0-3 ,3-6
4-6,3-6
7-12,15-25
4-8,6-10
1-5,3-6
4-6,15-25
5-9,15-25
0-5 ,0-3
3-6,0-3
13-15 ,25-50
10-18,25-50
1-3,0-3
4-8,15-25
0-2 ,0-3
1-3,0-3
2-6,15-25
6-8,3-6
13-15 ,25-50
7-9,6-10
5-9,25-50
3-8,10-15
10-15,25-50
4-8,25-50
10-15,15-25
3-5,15-25
12-15,15-25
5-10,25-50
4-8,6-10
6-11,15-25
8-12,10-15
2-6,10-15
15-20 ,25-50
1-2,0-3
3-8,10-15
8-10,15-25
4-9,15-25
2-3,10-15
4-8,3-6
0-1 ,3-6
2-7,3-6
3-8,10-15
3-5,10-15
1-3,3-6
8-10,10-15
4-9,3-6
5-8,10-15
5-8,15-25
5-10,10-15
3-8,3-6
1-5,6-10
2-5,10-15
7-12,15-25
2-5,3-6
3-8,10-15
15-20 ,25-50
5-6,10-15
5-8,6-10
1-3,3-6
10-15,10-15
7-12,25-50
3-8,15-25
3-4,10-15
0-2 ,0-3
0-0 ,0-3
5-7,6-10
3-5,0-3
10-15,15-25
1-4,3-6
8-13,6-10
3-8,6-10
4-9,6-10
5-8,3-6
4-7,10-15
7-10,10-15
3-6,6-10
3-6,10-15
2-5,3-6
3-6,6-10
2-7,10-15
2-5,0-3
5-9,15-25
3-5,6-10
1-5,3-6
1-3,3-6
11-20,15-25
5-10,10-15
15-20 ,15-25
6-11,15-25
10-15,10-15
12-14,15-25
7-12,6-10
10-20,25-50
4-9,6-10
1-6,6-10
5-8,15-25
2-5,0-3
3-5,10-15
1-4,3-6
10-19,25-50
4-8,15-25
3-6,0-3
8-13,15-25
5-8,6-10
4-8,10-15
3-7,10-15
2-6,6-10
4-8,3-6
10-15,25-50
2-5,15-25
1-6,0-3
10-15,10-15
2-4,6-10
4-6,3-6
8-13,15-25
11-14,15-25
4-8,6-10
8-12,25-50
0-5 ,0-3
1-3,0-3
3-7,10-15
0-5 ,0-3
1-5,6-10
1-6,0-3
2-4,3-6
1-5,0-3
2-7,0-3
1-5,3-6
3-8,15-25
1-2,6-10
2-5,15-25
6-11,3-6
1-5,0-3
4-9,6-10
4-6,3-6
1-2,6-10
4-8,6-10
4-9,10-15
4-6,10-15
10-15,0-3
3-5,6-10
2-5,6-10
1-3,3-6
3-8,6-10
2-7,3-6
1-3,0-3
0-0 ,0-3
3-6,3-6
12-20,25-50
10-20,6-10
12-15,15-25
5-10,10-15
6-8,15-25
12-16,25-50
4-9,15-25
10-17,10-15
0-5 ,0-3
5-8,10-15
7-12,10-15
3-8,3-6
7-12,6-10
2-5,3-6
8-10,15-25
3-8,6-10
3-6,0-3
8-10,25-50
3-8,15-25
9-14,10-15
3-5,6-10
6-11,10-15
1-3,3-6
8-10,15-25
1-6,6-10
2-3,3-6
4-8,15-25
3-8,6-10
12-15,25-50
4-8,15-25
5-6,25-50
2-5,25-50
1-3,0-3
3-5,3-6
7-12,10-15
2-6,3-6
8-13,10-15
15-25 ,10-15
2-7,0-3
10-14,10-15
5-9,6-10
5-9,15-25
8-12,10-15
2-4,6-10
4-9,10-15
7-8,10-15
7-12,10-15
6-8,6-10
5-10,10-15
5-10,15-25
3-7,6-10
2-7,15-25
3-6,6-10
4-8,10-15
4-7,10-15
1-5,3-6
1-5,3-6
1-5,6-10
1-5,6-10
3-5,0-3
6-9,10-15
3-8,15-25
4-7,3-6
3-8,10-15
5-7,6-10
8-9,3-6
6-11,25-50
1-4,6-10
9-13,25-50
5-10,15-25
3-5,6-10
3-8,15-25
12-15,25-50
0-3 ,3-6
3-8,15-25
8-12,10-15
6-10,15-25
3-6,10-15
1-6,15-25
3-5,10-15
3-6,10-15
2-5,15-25
3-4,3-6
0-2 ,0-3
2-3,10-15
12-14,6-10
0-5 ,0-3
12-15,25-50
6-8,10-15
15-16 ,10-15
0-2 ,0-3
0-1 ,0-3
3-6,6-10
7-10,6-10
5-10,6-10
8-12,25-50
2-7,15-25
1-5,6-10
5-9,10-15
12-15,25-50
8-13,10-15
4-8,10-15
1-5,0-3
0-1 ,3-6
1-5,3-6
9-14,25-50
12-17,10-15
1-5,15-25
0-1 ,0-3
10-15,25-50
5-10,10-15
4-8,6-10
8-13,10-15
1-5,6-10
5-8,6-10
1-6,0-3
3-5,6-10
3-6,10-15
3-6,6-10
14-20 ,25-50
4-9,10-15
7-12,15-25
4-8,15-25
1-3,0-3
9-11,25-50
4-6,6-10
7-10,6-10
10-12,15-25
10-12,15-25
0-4 ,0-3
1-3,0-3
6-11,15-25
2-5,3-6
8-12,15-25
8-13,10-15
8-13,10-15
5-8,6-10
6-8,6-10
4-7,10-15
6-11,15-25
7-10,10-15
2-7,15-25
4-8,3-6
3-5,3-6
0-2 ,3-6
1-5,10-15
4-8,10-15
2-6,10-15
7-12,15-25
12-20,25-50
0-2 ,0-3
4-9,15-25
0-5 ,0-3
2-7,10-15
2-7,6-10
10-13,15-25
0-1 ,0-3
6-10,10-15
2-7,3-6
2-5,15-25
2-7,0-3
10-12,10-15
1-3,0-3
5-10,25-50
8-13,10-15
3-8,15-25
7-12,15-25
10-15,25-50
14-22 ,25-50
7-12,15-25
0-3 ,0-3
3-8,6-10
1-2,0-3
3-8,6-10
2-4,0-3
5-10,15-25
3-8,15-25
0-1 ,3-6
0-5 ,0-3
4-6,6-10
6-11,25-50
0-3 ,0-3
5-9,10-15
8-13,0-3
4-9,3-6
3-8,3-6
1-3,0-3
3-6,6-10
5-10,15-25
2-7,3-6
3-7,3-6
4-8,10-15
1-4,0-3
4-9,15-25
2-6,15-25
0-2 ,6-10
2-4,3-6
6-11,10-15
8-13,25-50
5-10,15-25
5-10,10-15
0-5 ,0-3
5-10,3-6
1-3,0-3
8-10,3-6
0-2 ,0-3
4-8,10-15
0-3 ,0-3
1-2,3-6
3-8,15-25
10-15,15-25
5-10,15-25
7-12,10-15
4-7,6-10
10-20,10-15
7-10,6-10
4-7,10-15
1-6,3-6
5-10,15-25
0-5 ,3-6
1-3,3-6
0-5 ,0-3
3-8,15-25
1-6,15-25
5-10,10-15
12-20,25-50
8-10,15-25
5-10,15-25
1-6,6-10
3-7,6-10
3-8,6-10
4-8,3-6
3-8,15-25
2-3,0-3
2-5,6-10
5-10,15-25
2-4,3-6
2-5,3-6
5-10,10-15
4-7,10-15
6-11,25-50
0-1 ,0-3
10-18,25-50
7-9,15-25
9-14,10-15
3-8,10-15
15-20 ,25-50
5-8,10-15
3-7,3-6
6-11,10-15
0-5 ,6-10
10-15,10-15
1-4,10-15
3-8,10-15
3-7,10-15
3-5,10-15
8-12,15-25
3-8,3-6
1-6,0-3
3-8,6-10
2-6,0-3
5-10,10-15
4-9,15-25
1-5,3-6
8-10,25-50
7-12,15-25
0-5 ,0-3
0-2 ,0-3
10-14,15-25
2-5,10-15
4-5,6-10
5-8,6-10
4-8,6-10
4-9,0-3
3-5,10-15
0-2 ,0-3
12-14,10-15
0-2 ,0-3
7-12,15-25
0-5 ,10-15
3-7,6-10
4-8,6-10
3-8,3-6
7-12,25-50
6-10,25-50
2-5,3-6
4-6,6-10
2-6,6-10
3-8,15-25
0-5 ,0-3
0-2 ,0-3
5-8,6-10
8-10,25-50
10-18,25-50
4-9,15-25
2-7,10-15
8-13,10-15
2-7,3-6
3-6,6-10
1-3,0-3
3-7,15-25
5-8,6-10
8-13,15-25
1-3,15-25
10-19,10-15
4-7,6-10
7-10,10-15
2-4,6-10
0-1 ,0-3
3-6,10-15
5-8,10-15
2-3,6-10
5-10,10-15
0-3 ,0-3
3-6,6-10
4-9,10-15
5-10,10-15
2-7,6-10
3-5,3-6
8-13,15-25
8-10,6-10
0-2 ,0-3
10-15,15-25
5-6,15-25
3-8,6-10
5-10,15-25
4-6,6-10
2-7,10-15
6-11,15-25
5-10,6-10
1-6,0-3
1-5,3-6
9-14,15-25
6-11,10-15
1-5,6-10
3-6,6-10
2-5,0-3
5-8,6-10
3-6,10-15
0-5 ,3-6
10-18,10-15
15-25 ,25-50
10-13,15-25
1-3,0-3
0-1 ,0-3
3-5,0-3
2-5,3-6
2-5,6-10
3-5,6-10
3-7,6-10
0-0 ,0-3
8-12,0-3
2-4,10-15
3-8,0-3
4-6,6-10
1-6,3-6
8-13,15-25
8-12,10-15
8-12,25-50
3-8,25-50
1-4,0-3
12-18,25-50
13-15 ,25-50
2-5,3-6
0-5 ,3-6
3-5,6-10
3-5,10-15
4-9,3-6
1-4,0-3
1-6,6-10
12-20,15-25
1-2,0-3
5-8,15-25
12-15,25-50
10-15,25-50
0-5 ,3-6
4-5,3-6
8-12,10-15
2-7,15-25
10-14,10-15
4-8,15-25
4-8,6-10
5-7,10-15
0-1 ,0-3
4-9,10-15
10-15,10-15
5-10,0-3
2-7,0-3
5-10,10-15
5-10,6-10
5-10,15-25
0-1 ,0-3
9-12,6-10
5-8,6-10
3-6,15-25
4-9,10-15
5-10,10-15
3-5,15-25
3-6,10-15
2-6,6-10
4-5,6-10
2-3,6-10
1-3,15-25
1-4,3-6
12-20,25-50
0-5 ,0-3
5-10,10-15
4-9,10-15
10-13,15-25
2-5,10-15
9-14,15-25
6-8,15-25
7-12,15-25
5-9,10-15
1-6,6-10
2-4,0-3
6-10,25-50
4-8,10-15
3-8,25-50
5-9,15-25
18-20 ,25-50
7-10,15-25
8-13,6-10
2-5,6-10
7-12,15-25
3-5,6-10
8-13,10-15
2-5,0-3
9-14,25-50
1-6,0-3
7-12,15-25
10-13,10-15
12-18,25-50
10-20,15-25
3-7,10-15
0-5 ,0-3
5-10,15-25
2-7,6-10
2-7,3-6
4-8,15-25
0-0 ,0-3
2-5,6-10
8-12,25-50
2-7,0-3
3-8,25-50
0-1 ,0-3
4-9,10-15
7-12,10-15
5-10,10-15
6-11,6-10
1-3,3-6
5-8,15-25
5-10,10-15
5-10,10-15
8-10,25-50
5-10,6-10
9-14,25-50
0-4 ,3-6
8-13,15-25
8-10,6-10
8-11,25-50
2-6,3-6
0-5 ,0-3
4-9,10-15
0-5 ,3-6
2-7,15-25
0-5 ,0-3
6-11,15-25
2-5,15-25
10-12,15-25
5-8,15-25
3-8,0-3
1-3,6-10
0-2 ,0-3
10-12,10-15
4-7,6-10
3-7,25-50
7-10,25-50
0-3 ,0-3
8-13,15-25
0-2 ,3-6
7-10,15-25
3-5,10-15
0-4 ,0-3
5-10,10-15
3-8,6-10
3-6,15-25
3-8,15-25
5-9,10-15
6-10,10-15
4-9,10-15
7-10,15-25
7-12,25-50
7-12,10-15
0-1 ,0-3
3-7,3-6
2-7,3-6
1-4,3-6
15-20 ,25-50
8-13,15-25
10-18,25-50
4-9,15-25
0-0 ,0-3
0-5 ,0-3
1-4,0-3
6-10,10-15
5-10,10-15
4-7,10-15
12-15,15-25
0-2 ,0-3
10-18,15-25
8-13,10-15
7-12,10-15
4-9,10-15
3-8,3-6
0-3 ,0-3
8-10,15-25
1-3,0-3
2-4,6-10
2-7,6-10
0-1 ,0-3
0-1 ,0-3
0-0 ,3-6
2-3,3-6
6-11,10-15
11-15,15-25
8-13,25-50
4-8,15-25
2-6,6-10
2-6,0-3
5-10,15-25
2-5,6-10
1-6,6-10
1-5,6-10
0-2 ,0-3
3-7,10-15
2-7,25-50
3-5,6-10
0-3 ,0-3
4-9,6-10
0-3 ,0-3
2-6,6-10
6-10,6-10
3-6,10-15
5-8,6-10
9-12,10-15
4-7,6-10
2-5,6-10
7-11,15-25
3-5,10-15
8-13,15-25
3-4,3-6
3-7,10-15
0-1 ,0-3
6-10,10-15
5-10,15-25
4-9,10-15
0-2 ,0-3
4-9,10-15
2-6,10-15
4-8,10-15
5-10,15-25
0-1 ,0-3
5-9,10-15
4-9,15-25
2-7,10-15
12-20,25-50
10-15,15-25
3-6,6-10
15-25 ,15-25
10-15,25-50
1-3,0-3
5-7,15-25
2-5,3-6
1-4,0-3
1-3,10-15
2-4,0-3
10-13,10-15
4-8,15-25
11-14,15-25
5-10,15-25
5-8,10-15
4-7,10-15
1-3,0-3
5-8,10-15
3-5,0-3
1-2,0-3
7-12,15-25
2-5,15-25
3-8,10-15
2-7,3-6
11-17,25-50
5-8,15-25
5-7,10-15
2-7,0-3
1-5,0-3
3-7,15-25
4-6,10-15
8-13,25-50
2-6,6-10
6-9,10-15
4-6,6-10
3-8,15-25
2-7,6-10
10-14,25-50
4-6,6-10
1-5,10-15
3-8,25-50
8-10,10-15
10-15,10-15
8-12,15-25
10-20,15-25
3-5,6-10
3-5,3-6
5-9,10-15
8-11,15-25
3-6,10-15
1-3,0-3
10-15,6-10
1-2,0-3
2-6,10-15
5-10,15-25
5-7,3-6
6-8,6-10
0-2 ,6-10
5-10,15-25
0-2 ,3-6
6-10,10-15
